Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
Copolyester Elastomer (TPE-E),1.2,200.0,1.5,0.22,130.0,,420.0,HB,20.0,350.0,10.0,320.0,32.0,180.0,8,0.43850998675282316
Copolyester Ether (Arnitel),1.12,200.0,2.0,0.2,180.0,335.0,370.0,HB,18.0,150.0,8.0,310.0,32.0,160.0,9,0.47200840942563066
Copper (Beryllium),8.25,980.0,0.42,105.0,17.5,,,Non,0.0,0.0,0.0,980.0,0.0,0.0,7,0.5437420013698403
Copper (C11000),8.94,1083.0,0.38,390.5,16.85,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0,7,0.550656612753918
Copper (Cupronickel 70/30),8.94,1240.0,0.38,29.0,16.2,,,Non,0.0,0.0,0.0,1240.0,0.0,0.0,7,0.5611963602034347
Copper (Oxygen Free),8.96,1083.0,0.39,390.0,16.5,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0,7,0.550656612753918
Copper (Phosphor Bronze),8.8,1050.0,0.38,62.0,18.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0,7,0.5484412518250387
Copper Ferrite (CuFe2O4),5.4,1450.0,0.5,3.0,11.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Copper Flashing,8.9,1083.0,0.39,390.0,16.5,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0,7,0.550656612753918
Copper Foam,1.5,1083.0,0.39,25.0,16.5,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0,7,0.550656612753918
Copper Oxide (CuO),6.31,1325.0,0.55,15.0,11.0,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0,7,0.5669025928990328
Copper Silicide,7.35,859.0,0.38,45.0,18.0,,,Non,0.0,0.0,0.0,859.0,0.0,0.0,7,0.5356190112972828
Copper Silicide (Cu3Si),7.35,859.0,0.38,45.0,18.0,,,Non,0.0,0.0,0.0,859.0,0.0,0.0,7,0.5356190112972828
Copper Titanate (CuTiO3),5.25,1250.0,0.5,3.0,11.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
Copper(I) Bromide,4.72,492.0,0.35,2.0,16.0,,,Non,0.0,0.0,0.0,492.0,0.0,0.0,7,0.5109815124821708
Copper(I) Chloride,4.14,430.0,0.45,2.5,15.0,,,Non,0.0,0.0,0.0,430.0,0.0,0.0,7,0.5068193192218521
Copper(I) Iodide,5.67,606.0,0.25,1.2,22.0,,,Non,0.0,0.0,0.0,606.0,0.0,0.0,7,0.5186345775092083
Copper(I) Oxide,6.0,1235.0,0.45,4.5,4.3,,,Non,0.0,0.0,0.0,1235.0,0.0,0.0,7,0.5608606994566346
Copper(II) Bromide,4.77,498.0,0.35,1.8,20.0,,,Non,0.0,0.0,0.0,498.0,0.0,0.0,7,0.5113843053783307
Copper(II) Carbonate (Basic),4.0,,0.5,1.5,16.0,,,Non,0.0,0.0,0.0,200.0,0.0,0.0,6,0.5553134494451436
Copper(II) Chloride,3.39,498.0,0.55,1.5,18.0,,,Non,0.0,0.0,0.0,498.0,0.0,0.0,7,0.5113843053783307
Copper-Nickel (C70600),8.94,1100.0,0.38,45.0,17.1,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Copper-Nickel (C71500),8.94,1170.0,0.38,29.0,16.2,,,Non,0.0,0.0,0.0,1170.0,0.0,0.0,7,0.5564971097482362
Cordierite,2.1,1430.0,0.95,3.0,1.5,,,Non,0.0,0.0,0.0,1430.0,0.0,0.0,7,0.5739514685818304
Cordierite (Ceramic),2.1,1430.0,0.85,3.0,1.5,,,Non,0.0,0.0,0.0,1430.0,0.0,0.0,7,0.5739514685818304
Cork Board (Insulation),0.15,,1.95,0.04,,,300.0,HB,24.0,60.0,30.0,220.0,22.0,75.0,7,0.538993774813577
Cork Tile,0.25,,1.9,0.05,,,300.0,HB,24.0,60.0,30.0,220.0,22.0,80.0,7,0.5375652033850056
Cotton Fiber,1.55,,1.35,0.1,,210.0,400.0,HB,18.0,150.0,20.0,240.0,18.0,200.0,8,0.4977128533943106
Cross Laminated Timber (CLT),0.52,,1.65,0.13,3.6,250.0,355.0,HB,23.0,55.0,23.0,300.0,18.2,90.0,8,0.5424750931542409
Cross-linked Polyethylene (PEX),0.94,,2.3,0.4,150.0,,350.0,HB,18.0,400.0,5.0,300.0,43.0,200.0,7,0.45469199905172947
Cubic Boron Nitride,3.48,2973.0,0.75,700.0,4.0,,,Non,0.0,0.0,0.0,2973.0,0.0,0.0,7,0.6775363750442771
Cumene,0.86,-96.0,1.95,0.13,31.0,424.0,,,,2.0,,41.2,,,4,0.43102654301914145
Cumene Hydroperoxide,1.05,-10.0,1.9,0.17,,79.0,,,,60.0,10.0,150.0,26.0,,6,0.4442935565833798
Cunife,8.6,1080.0,0.38,30.0,13.5,,,Non,0.0,0.0,0.0,1080.0,0.0,0.0,7,0.550455216305838
Cupro-Nickel (90/10),8.9,1100.0,0.38,45.0,17.1,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Cupronickel (70/30),8.95,1170.0,0.38,29.0,16.2,,,Non,0.0,0.0,0.0,1170.0,0.0,0.0,7,0.5564971097482362
Cured Phenolic (Glass Fabric),1.85,,1.05,0.5,15.0,570.0,600.0,V-0,55.0,2.0,70.0,500.0,18.0,2.0,8,0.7072561597200546
Curium Boride (CmB4),9.05,2200.0,0.2,12.0,12.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,7,0.6256432235890138
Cyanate Ester,1.2,,1.2,0.25,45.0,560.0,520.0,V-0,32.0,47.5,45.0,450.0,28.0,12.5,8,0.649069380050781
Cyclohexane,0.78,6.5,1.85,0.12,-20.0,245.0,,,,0.0,,43.5,,,4,0.39140863226292644
Cyclohexanol,0.96,25.0,2.1,0.15,68.0,300.0,,,,5.0,,34.5,,,4,0.4050211779984099
Cyclohexanone,0.95,-31.0,2.05,0.15,44.0,420.0,,,,5.0,,32.5,,,4,0.4326081928536478
Cyclopentane,0.75,-94.0,1.85,0.12,-37.0,361.0,,,,0.0,,44.5,,,4,0.4155268198554787
Decane,0.73,-30.0,2.2,0.14,46.0,210.0,,,,0.0,,44.2,,,4,0.3802680017712128
Di-t-Butyl Peroxide,0.8,-40.0,2.1,0.12,,13.0,,,,20.0,0.0,111.0,32.0,,6,0.43312471301221805
Diallyl Isophthalate (DAIP),1.8,,1.15,0.42,22.0,430.0,470.0,V-0,31.0,55.0,42.0,390.0,27.0,15.0,8,0.6190507061367495
Diallyl Phthalate (DAP),1.75,,1.2,0.4,25.0,420.0,460.0,V-0,30.0,60.0,40.0,380.0,28.0,15.0,8,0.6135273915105851
Diamond (Synthetic),3.52,4000.0,0.51,2000.0,1.0,,,Non,0.0,0.0,0.0,4000.0,0.0,0.0,7,0.7464810924369748
Diamond (Type IIa),3.51,,0.51,2000.0,1.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0,6,0.6846339291065591
Diamond (Type Ib),3.51,,0.51,1800.0,1.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0,6,0.6846339291065591
Dichloromethane,1.33,-97.0,1.2,0.15,,556.0,,,,0.0,40.0,0.0,,,5,0.444227193453255
Dicumyl Peroxide,1.02,39.0,1.8,0.15,,,,,,50.0,10.0,130.0,30.0,,5,0.46725501965806193
Diesel Fuel (No. 2),0.85,,2.1,0.12,,52.0,256.0,HB,15.0,700.0,2.0,280.0,43.0,400.0,8,0.3323896338061831
Diethyl Ether,0.71,-116.0,2.3,0.13,-45.0,160.0,,,,0.0,,33.5,,,4,0.3616776774786332
Diethylene Glycol,1.12,-10.0,2.3,0.25,124.0,229.0,,,,10.0,,22.0,,,4,0.3827462557465026
Diethylene Glycol Dinitrate,1.38,2.0,1.5,0.2,,,230.0,,,100.0,5.0,220.0,7.0,,6,0.43094975947973463
Dimethyl Ether,0.66,-141.0,2.35,0.15,-41.0,350.0,,,,0.0,,28.8,,,4,0.40900416921307603
Dimethyl Formamide,0.94,-61.0,2.15,0.19,58.0,445.0,,,,0.0,,19.5,,,4,0.4376885582568859
Dimethyl Sulfoxide,1.1,18.5,1.95,0.2,89.0,215.0,,,,10.0,189.0,20.5,,,5,0.42488474650416047
Dodecane,0.75,-10.0,2.2,0.14,71.0,203.0,,,,0.0,,44.0,,,4,0.379622378627706
Dolomite,2.85,,0.88,2.5,9.0,,,Non,0.0,0.0,0.0,850.0,0.0,0.0,6,0.5807856651360285
Douglas Fir (Solid),0.53,,1.65,0.13,3.5,250.0,350.0,HB,23.0,50.0,22.0,300.0,18.0,85.0,8,0.54329751511451
Ductile Iron,7.1,1150.0,0.46,36.0,12.0,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0,7,0.5551544667610365
Duplex SS 2205,7.8,1385.0,0.5,19.0,13.7,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0,7,0.5709305218606314
Duplex SS 2507,7.8,1350.0,0.5,14.2,13.0,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Duranickel 301,8.25,1400.0,0.44,23.5,13.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Dynamite (NG based),1.6,,1.35,0.25,,,180.0,,,1000.0,2.0,200.0,5.0,,5,0.3246566990039092
Dysprosium (Pure),8.55,1412.0,0.17,11.0,9.9,,,Non,0.0,0.0,0.0,1412.0,0.0,0.0,7,0.5727430898933509
Dysprosium Boride (DyB6),5.75,2050.0,0.45,35.0,7.5,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0,7,0.615573401185017
Dysprosium Hexaboride (DyB6),5.65,2280.0,0.42,26.0,8.5,,,Non,0.0,0.0,0.0,2280.0,0.0,0.0,7,0.631013795537812
Dysprosium Hydride,7.55,1000.0,0.3,4.6,11.3,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Dysprosium Iron Garnet (DyIG),6.6,1510.0,0.38,5.0,10.3,,,Non,0.0,0.0,0.0,1510.0,0.0,0.0,7,0.5793220405306287
Dysprosium Oxide (Dy2O3),7.81,2410.0,0.32,10.0,9.0,,,Non,0.0,0.0,0.0,2410.0,0.0,0.0,7,0.6397409749546092
Dysprosium Silicide,7.75,1200.0,0.25,10.0,10.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Dysprosium Titanate,6.45,1850.0,0.35,2.5,10.5,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0,7,0.6021469713130214
ECTFE (Halar 300),1.68,240.0,1.1,0.15,80.0,450.0,480.0,V-0,52.0,12.0,20.0,440.0,16.0,5.0,9,0.5952421928001344
EPDM (Peroxide Cured),0.92,,2.15,0.25,210.0,310.0,375.0,HB,19.0,180.0,12.0,330.0,41.5,185.0,8,0.5073108485331056
EPDM Rubber,1.025,,2.1,0.25,185.0,300.0,350.0,HB,18.5,315.0,10.0,300.0,42.0,170.0,8,0.4882110823967546
EPDM Sponge,0.15,,2.0,0.04,,,350.0,HB,18.0,550.0,10.0,300.0,40.0,300.0,7,0.40780962407606614
ETFE (Tefzel 200),1.73,267.0,1.9,0.24,90.0,470.0,490.0,V-0,30.0,15.0,0.0,460.0,13.8,10.0,9,0.5710456773560995
ETFE Foil,1.75,267.0,1.1,0.24,130.0,,,V-0,32.0,10.0,10.0,400.0,13.5,10.0,7,0.5429128526992731
Eastern White Pine,0.42,,1.7,0.11,3.0,240.0,340.0,HB,22.0,45.0,20.0,290.0,17.5,75.0,8,0.5415405051864928
Einsteinium Boride (EsB4),8.75,1900.0,0.2,6.0,15.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0,7,0.6055035787810203
Elgiloy,8.3,1427.0,0.45,12.5,15.1,,,Non,0.0,0.0,0.0,1427.0,0.0,0.0,7,0.5737500721337506
Elgiloy (Wire),8.3,1427.0,0.45,12.5,15.1,,,Non,0.0,0.0,0.0,1427.0,0.0,0.0,7,0.5737500721337506
Elinvar,8.15,1450.0,0.46,12.0,0.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Epichlorohydrin Rubber (ECO),1.35,,1.4,0.18,140.0,,410.0,V-1,26.0,450.0,20.0,270.0,26.0,100.0,7,0.5032662991976765
Epoxy (Carbon Prepreg),1.55,,1.1,4.5,1.0,400.0,430.0,V-0,32.0,80.0,40.0,380.0,29.0,10.0,8,0.6073844704789739
Epoxy (G-10/FR-4),1.8,,1.15,0.3,12.0,385.0,410.0,V-0,28.0,100.0,28.0,350.0,30.0,20.0,8,0.5890564669033468
Epoxy (Glass Filament Wound),1.95,,1.0,0.6,12.0,390.0,420.0,V-0,28.0,100.0,32.0,360.0,30.5,25.0,8,0.5911328892037508
Epoxy Floor Coating,1.15,,1.2,0.22,60.0,,,V-0,26.0,200.0,20.0,320.0,30.0,25.0,6,0.5664562203913288
Epoxy Resin,1.18,150.0,1.15,0.22,62.0,385.0,410.0,V-0,26.0,110.0,28.0,355.0,31.2,20.0,9,0.5310796358852445
Erbium (Pure),9.07,1529.0,0.16,14.0,12.2,,,Non,0.0,0.0,0.0,1529.0,0.0,0.0,7,0.5805975513684684
Erbium Boride (ErB6),6.15,2010.0,0.4,40.0,7.0,,,Non,0.0,0.0,0.0,2010.0,0.0,0.0,7,0.6128881152106179
Erbium Hexaboride (ErB6),6.05,2310.0,0.38,24.0,9.0,,,Non,0.0,0.0,0.0,2310.0,0.0,0.0,7,0.6330277600186115
Erbium Hydride,8.25,1000.0,0.25,4.5,10.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Erbium Iron Garnet (ErIG),6.85,1525.0,0.32,5.3,10.1,,,Non,0.0,0.0,0.0,1525.0,0.0,0.0,7,0.5803290227710285
Erbium Oxide (Er2O3),8.64,2340.0,0.3,11.0,9.5,,,Non,0.0,0.0,0.0,2340.0,0.0,0.0,7,0.6350417244994108
Erbium Silicide,8.35,1100.0,0.2,10.0,9.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Ethane,0.001,-183.0,2.45,,-135.0,472.0,,,,0.0,,47.5,,,4,0.4391462902958584
Ethanol,0.79,-114.0,2.45,0.17,13.0,363.0,,,,0.0,,26.8,,,4,0.4138289222367817
Ethanol Fuel (E100),0.79,-114.0,2.44,0.17,,13.0,363.0,HB,17.0,400.0,0.0,78.0,26.8,300.0,9,0.360991251936868
Ethyl Acetate,0.9,-84.0,1.95,0.15,-4.0,426.0,,,,0.0,,23.5,,,4,0.4316665794294211
Ethyl Benzene,0.87,-95.0,1.75,0.13,15.0,432.0,,,,2.0,,40.5,,,4,0.4331102105214442
Ethyl Cellulose,1.14,170.0,1.5750000000000002,0.235,125.0,270.0,380.0,HB,18.0,240.0,10.0,210.0,24.0,182.5,9,0.44932687801205223
Ethyl Nitrate,1.1,-102.0,1.8,0.16,,10.0,,HB,18.0,,0.0,88.0,13.5,,6,0.3110887792736175
Ethylene,0.001,-169.0,1.55,,-136.0,450.0,,,,0.0,,47.2,,,4,0.43426862665556054
Ethylene Chlorotrifluoroethylene (ECTFE),1.68,240.0,1.15,0.15,80.0,,,V-0,52.0,15.0,20.0,420.0,12.0,5.0,7,0.5743888126218002
Ethylene Glycol,1.11,-13.0,2.4,0.26,111.0,398.0,,,,5.0,197.0,19.1,,,5,0.46456872515174663
Ethylene Glycol Dinitrate,1.48,-22.0,1.4,0.22,,,215.0,,,100.0,2.0,190.0,6.0,,6,0.4248685698146713
Ethylene Oxide,0.88,-111.0,2.0,0.15,-20.0,429.0,,,,0.0,,28.2,,,4,0.43113276930844047
Ethylene Propylene Copolymer,0.88,,2.2,0.2,180.0,,350.0,HB,18.0,400.0,2.0,300.0,44.0,250.0,7,0.43964718846938766
Ethylene Tetrafluoroethylene (ETFE),1.715,265.0,1.5,0.24,90.0,470.0,490.0,V-0,30.0,12.5,0.0,400.0,13.8,10.0,9,0.5696812897589827
Ethylene Vinyl Acetate (EVA),0.945,90.0,2.1,0.3249999999999999,180.0,260.0,340.0,HB,18.0,245.0,2.0,260.0,42.0,205.0,9,0.4333984086917562
Europium (Pure),5.24,822.0,0.18,14.0,35.0,,,Non,0.0,0.0,0.0,822.0,0.0,0.0,7,0.5331351217709637
Europium Boride (EuB6),4.95,2110.0,0.55,28.0,8.5,,,Non,0.0,0.0,0.0,2110.0,0.0,0.0,7,0.6196013301466158
Europium Hexaboride (EuB6),4.95,2240.0,0.5,32.0,7.8,,,Non,0.0,0.0,0.0,2240.0,0.0,0.0,7,0.6283285095634129
Europium Hydride,5.35,1000.0,0.35,4.2,13.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Europium Oxide (Eu2O3),7.4,2330.0,0.35,10.0,10.5,,,Non,0.0,0.0,0.0,2330.0,0.0,0.0,7,0.6343704030058109
Europium Silicide,5.45,1350.0,0.35,8.0,13.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Expanded Clay,0.6,,1.05,0.12,7.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,6,0.5905826711709842
Expanded Perlite Board,0.2,1100.0,1.0,0.05,8.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Expanded Polyethylene (EPE),0.03,110.0,2.3,0.04,200.0,340.0,350.0,HB,17.0,60.0,0.0,340.0,43.0,200.0,9,0.46513110903244936
Expanded Polystyrene (EPS),0.025,240.0,1.3,0.03,70.0,345.0,427.0,HB,18.0,250.0,0.0,240.0,41.0,225.0,9,0.4540324264264624
Expanded Shale,0.85,,1.0,0.2,8.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,6,0.5905826711709842
Extruded Polystyrene (XPS),0.04,,1.4,0.03,75.0,,460.0,HB,19.0,400.0,3.0,250.0,39.5,180.0,7,0.4806987196418285
FEP (Teflon FEP),2.15,260.0,1.17,0.24,130.0,510.0,520.0,V-0,95.0,3.0,0.0,480.0,5.2,5.0,9,0.6555200653198566
FS-85 Niobium Alloy,10.6,2300.0,0.24,35.0,7.5,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0,7,0.6323564385250117
Feather (Down),0.02,,1.5,0.03,,,,HB,22.0,120.0,30.0,220.0,20.0,150.0,6,0.5301067767321196
Fermium Boride (FmB4),8.65,1800.0,0.2,5.0,16.5,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0,7,0.5987903638450225
Fernico,8.25,1450.0,0.45,17.0,5.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Ferrite (Ceramic Magnet),4.8,1400.0,0.75,4.0,10.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Ferrocement,2.5,,0.85,1.6,12.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Fiber Cement Board,1.45,,1.0,0.25,8.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0,6,0.5651104554800993
Fiberglass Grating (Polyester),1.7,,1.2,0.25,18.0,,480.0,HB,20.0,450.0,15.0,350.0,30.0,150.0,7,0.49478034468902454
Fiberglass Grating (Vinylester),1.75,,1.15,0.28,16.0,,500.0,V-0,28.0,350.0,25.0,380.0,28.0,25.0,7,0.5622315942143847
Fiberglass Insulation (Batts),0.02,,0.8,0.04,5.0,,,Non,0.0,0.0,0.0,550.0,0.0,0.0,6,0.5690292578940817
Fire Logs (Wax/Sawdust),1.05,,1.8,0.2,,,200.0,HB,15.0,800.0,10.0,250.0,35.0,400.0,7,0.31269914269359206
Firebrick (Alumina),2.4,1750.0,1.05,1.2,5.2,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0,7,0.5954337563770234
Fireclay (Super Duty),2.3,1750.0,0.95,1.5,5.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0,7,0.5954337563770234
Flax Fiber,1.54,,1.4,0.16,,265.0,375.0,HB,25.0,100.0,30.0,310.0,19.5,100.0,8,0.5440908579384548
Fluorinated Ethylene Propylene (FEP Film),2.15,265.0,1.17,0.24,130.0,510.0,520.0,V-0,95.0,3.0,0.0,480.0,5.2,5.0,9,0.6556505080424571
Fluorinated Ethylene Propylene (FEP),2.15,260.0,1.16,0.22,112.5,510.0,520.0,V-0,95.0,4.0,0.0,450.0,5.5,3.5,9,0.6549466415181738
Fluorinated PI (CP1),1.53,410.0,1.08,0.16,35.0,595.0,620.0,V-0,44.0,5.0,65.0,610.0,23.5,2.0,9,0.6410134361823984
Fluorinated Polyimide,1.5,410.0,1.1,0.16,35.0,590.0,620.0,V-0,42.0,5.0,65.0,610.0,24.0,3.0,9,0.6379602832607991
Fluorinated Silicone,1.45,,1.1,0.22,220.0,450.0,480.0,V-1,33.0,30.0,40.0,420.0,19.0,20.0,8,0.628517609873552
Fluorine,0.002,-220.0,0.82,0.03,,,,,,0.0,-188.0,0.0,,,4,0.25006553670740755
Fluoroelastomer (Aflas),1.55,,1.25,0.18,200.0,460.0,500.0,V-0,45.0,35.0,40.0,440.0,16.0,15.0,8,0.6495965929831452
Fluoroelastomer (Viton),1.85,,1.15,0.2,200.0,,,V-0,50.0,50.0,45.0,480.0,15.0,10.0,6,0.6487800972878208
Fly Ash (Bulk),0.9,,0.8,0.15,,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,6,0.5984202759989489
Formaldehyde,0.81,-92.0,2.0,0.15,-50.0,430.0,,,,0.0,,17.2,,,4,0.43185971665117767
Formic Acid,1.22,8.4,2.15,0.27,69.0,434.0,,,,5.0,101.0,5.2,,,5,0.4423580161729343
Forsterite,2.85,1890.0,0.85,3.5,11.0,,,Non,0.0,0.0,0.0,1890.0,0.0,0.0,7,0.6048322572874205
Furan,0.94,-86.0,1.55,0.15,-35.0,390.0,,,,0.0,,35.5,,,4,0.42295704475244045
Furan Resin,1.2,,1.3,0.25,45.0,,520.0,V-0,45.0,50.0,55.0,450.0,22.0,10.0,7,0.6435376082413014
Fused Silica,2.2,1710.0,0.75,1.4,0.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.590733086304005
Fused Silica (Amorph),2.2,1710.0,0.75,1.4,0.5,,,Non,0.0,0.0,0.0,1710.0,0.0,0.0,7,0.5927484704026245
Gabbro,3.0,1250.0,0.75,2.6,6.5,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
Gadolinium (Pure),7.9,1313.0,0.23,10.0,9.4,,,Non,0.0,0.0,0.0,1313.0,0.0,0.0,7,0.566097007106713
Gadolinium Boride (GdB6),5.3,2090.0,0.5,30.0,8.0,,,Non,0.0,0.0,0.0,2090.0,0.0,0.0,7,0.6182586871594162
Gadolinium Gallium Garnet (GGG),7.08,1750.0,0.4,9.0,9.2,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0,7,0.5954337563770234
Gadolinium Hafnate (Gd2Hf2O7),8.75,2550.0,0.25,1.5,9.5,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0,7,0.6491394758650062
Gadolinium Hexaboride (GdB6),5.25,2250.0,0.48,30.0,8.0,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0,7,0.6289998310570127
Gadolinium Hydride,7.08,1000.0,0.3,5.0,11.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Gadolinium Iron Garnet (GdIG),6.45,1530.0,0.45,5.5,10.5,,,Non,0.0,0.0,0.0,1530.0,0.0,0.0,7,0.5806646835178284
Gadolinium Orthosilicate (GSO),6.71,1900.0,0.35,3.5,10.0,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0,7,0.6055035787810203
Gadolinium Oxide (Gd2O3),7.41,2420.0,0.35,10.0,10.2,,,Non,0.0,0.0,0.0,2420.0,0.0,0.0,7,0.640412296448209
Gadolinium Silicide,7.15,1300.0,0.3,10.0,11.5,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Gadolinium Zirconate (Gd2Zr2O7),7.0,2400.0,0.35,1.6,10.0,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0,7,0.6390696534610095
Gallium,5.91,29.8,0.37,29.0,18.0,,,Non,0.0,0.0,0.0,29.8,0.0,0.0,7,0.4799530330479888
Gallium (Metal),5.91,30.0,0.37,29.0,18.0,,,Non,0.0,0.0,0.0,2204.0,0.0,0.0,7,0.5529905433178393
Gallium Antimonide,5.61,712.0,0.25,32.0,7.7,,,Non,0.0,0.0,0.0,712.0,0.0,0.0,7,0.5257505853413661
Gallium Arsenide,5.32,1238.0,0.33,55.0,5.7,,,Non,0.0,0.0,0.0,1238.0,0.0,0.0,7,0.5610620959047147
Gallium Arsenide Crystal,5.32,1238.0,0.33,52.0,5.7,,,Non,0.0,0.0,0.0,1238.0,0.0,0.0,7,0.5610620959047147
Gallium Hydride,5.55,,0.45,1.5,15.0,,,Non,0.0,0.0,0.0,-15.0,0.0,0.0,6,0.5468880242550817
Gallium Nitride (GaN),6.1,2500.0,0.49,130.0,3.2,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0,7,0.6457828683970073
Gallium Nitride Crystal,6.15,,0.49,130.0,5.6,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Gallium Silicide,4.85,,0.45,8.0,12.5,,,Non,0.0,0.0,0.0,250.0,0.0,0.0,6,0.5572728506521348
Galvanized Steel,7.9,1450.0,0.49,45.0,12.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Gasoline (87 Octane),0.75,,2.2,0.1,,-43.0,280.0,HB,14.0,800.0,0.0,200.0,44.5,500.0,8,0.2834711555678162
Gelatin (Dry),1.3,,1.25,0.2,,,,HB,25.0,150.0,30.0,220.0,18.0,150.0,6,0.5307199131889565
Germanium,5.32,938.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,938.0,0.0,0.0,7,0.5409224510967211
Germanium (Pure),5.32,938.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,938.0,0.0,0.0,7,0.5409224510967211
Germanium (Pure/Crys),5.32,938.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,938.0,0.0,0.0,7,0.5409224510967211
Germanium Crystal,5.32,937.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,937.0,0.0,0.0,7,0.5408553189473612
Germanium Dioxide,4.25,1115.0,0.525,0.8,7.5,,,Non,0.0,0.0,0.0,1115.0,0.0,0.0,7,0.5528048415334373
Germanium Hydride (Germane),0.003,-165.0,0.65,,,,,,0.0,-88.0,32.5,,,,4,0.3447755396660014
Gilsonite,1.05,150.0,1.6,0.15,150.0,320.0,500.0,HB,18.0,500.0,30.0,400.0,36.0,200.0,9,0.44924814042959177
Glass (Borosilicate),2.23,1260.0,0.75,1.1,3.3,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0,7,0.5625390031906342
Glass Block,2.3,,0.8,0.6,8.5,,,Non,0.0,0.0,0.0,900.0,0.0,0.0,6,0.5827450663430197
Glass Fiber (AR-Glass),2.7,1250.0,0.78,1.2,7.5,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
Glass Fiber (C-Glass),2.5,1200.0,0.8,1.1,6.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Glass Fiber (E-Glass),2.54,1320.0,0.8,1.3,5.4,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0,7,0.5665669321522329
