Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
Dysprosium Hydride,7.55,1000.0,0.3,4.6,11.3,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Dysprosium Iron Garnet (DyIG),6.6,1510.0,0.38,5.0,10.3,,,Non,0.0,0.0,0.0,1510.0,0.0,0.0
Dysprosium Oxide (Dy2O3),7.81,2410.0,0.32,10.0,9.0,,,Non,0.0,0.0,0.0,2410.0,0.0,0.0
Dysprosium Silicide,7.75,1200.0,0.25,10.0,10.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Dysprosium Titanate,6.45,1850.0,0.35,2.5,10.5,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
ECTFE (Halar 300),1.68,240.0,1.1,0.15,80.0,450.0,480.0,V-0,52.0,12.0,20.0,440.0,16.0,5.0
EPDM (Peroxide Cured),0.92,,2.15,0.25,210.0,310.0,375.0,HB,19.0,180.0,12.0,330.0,41.5,185.0
EPDM Rubber,1.025,,2.1,0.25,185.0,300.0,350.0,HB,18.5,315.0,10.0,300.0,42.0,170.0
EPDM Sponge,0.15,,2.0,0.04,,,350.0,HB,18.0,550.0,10.0,300.0,40.0,300.0
ETFE (Tefzel 200),1.73,267.0,1.9,0.24,90.0,470.0,490.0,V-0,30.0,15.0,0.0,460.0,13.8,10.0
ETFE Foil,1.75,267.0,1.1,0.24,130.0,,,V-0,32.0,10.0,10.0,400.0,13.5,10.0
Eastern White Pine,0.42,,1.7,0.11,3.0,240.0,340.0,HB,22.0,45.0,20.0,290.0,17.5,75.0
Einsteinium Boride (EsB4),8.75,1900.0,0.2,6.0,15.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0
Elgiloy,8.3,1427.0,0.45,12.5,15.1,,,Non,0.0,0.0,0.0,1427.0,0.0,0.0
Elgiloy (Wire),8.3,1427.0,0.45,12.5,15.1,,,Non,0.0,0.0,0.0,1427.0,0.0,0.0
Elinvar,8.15,1450.0,0.46,12.0,0.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Epichlorohydrin Rubber (ECO),1.35,,1.4,0.18,140.0,,410.0,V-1,26.0,450.0,20.0,270.0,26.0,100.0
Epoxy (Carbon Prepreg),1.55,,1.1,4.5,1.0,400.0,430.0,V-0,32.0,80.0,40.0,380.0,29.0,10.0
Epoxy (G-10/FR-4),1.8,,1.15,0.3,12.0,385.0,410.0,V-0,28.0,100.0,28.0,350.0,30.0,20.0
Epoxy (Glass Filament Wound),1.95,,1.0,0.6,12.0,390.0,420.0,V-0,28.0,100.0,32.0,360.0,30.5,25.0
Epoxy Floor Coating,1.15,,1.2,0.22,60.0,,,V-0,26.0,200.0,20.0,320.0,30.0,25.0
Epoxy Resin,1.18,150.0,1.15,0.22,62.0,385.0,410.0,V-0,26.0,110.0,28.0,355.0,31.2,20.0
Erbium (Pure),9.07,1529.0,0.16,14.0,12.2,,,Non,0.0,0.0,0.0,1529.0,0.0,0.0
Erbium Boride (ErB6),6.15,2010.0,0.4,40.0,7.0,,,Non,0.0,0.0,0.0,2010.0,0.0,0.0
Erbium Hexaboride (ErB6),6.05,2310.0,0.38,24.0,9.0,,,Non,0.0,0.0,0.0,2310.0,0.0,0.0
Erbium Hydride,8.25,1000.0,0.25,4.5,10.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Erbium Iron Garnet (ErIG),6.85,1525.0,0.32,5.3,10.1,,,Non,0.0,0.0,0.0,1525.0,0.0,0.0
Erbium Oxide (Er2O3),8.64,2340.0,0.3,11.0,9.5,,,Non,0.0,0.0,0.0,2340.0,0.0,0.0
Erbium Silicide,8.35,1100.0,0.2,10.0,9.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Ethane,0.001,-183.0,2.45,,-135.0,472.0,,,,0.0,,47.5,,
Ethanol,0.79,-114.0,2.45,0.17,13.0,363.0,,,,0.0,,26.8,,
Ethanol Fuel (E100),0.79,-114.0,2.44,0.17,,13.0,363.0,HB,17.0,400.0,0.0,78.0,26.8,300.0
Ethyl Acetate,0.9,-84.0,1.95,0.15,-4.0,426.0,,,,0.0,,23.5,,
Ethyl Benzene,0.87,-95.0,1.75,0.13,15.0,432.0,,,,2.0,,40.5,,
Ethyl Cellulose,1.14,170.0,1.5750000000000002,0.235,125.0,270.0,380.0,HB,18.0,240.0,10.0,210.0,24.0,182.5
Ethyl Nitrate,1.1,-102.0,1.8,0.16,,10.0,,HB,18.0,,0.0,88.0,13.5,
Ethylene,0.001,-169.0,1.55,,-136.0,450.0,,,,0.0,,47.2,,
Ethylene Chlorotrifluoroethylene (ECTFE),1.68,240.0,1.15,0.15,80.0,,,V-0,52.0,15.0,20.0,420.0,12.0,5.0
Ethylene Glycol,1.11,-13.0,2.4,0.26,111.0,398.0,,,,5.0,197.0,19.1,,
Ethylene Glycol Dinitrate,1.48,-22.0,1.4,0.22,,,215.0,,,100.0,2.0,190.0,6.0,
Ethylene Oxide,0.88,-111.0,2.0,0.15,-20.0,429.0,,,,0.0,,28.2,,
Ethylene Propylene Copolymer,0.88,,2.2,0.2,180.0,,350.0,HB,18.0,400.0,2.0,300.0,44.0,250.0
Ethylene Tetrafluoroethylene (ETFE),1.7149999999999999,265.0,1.5,0.24,90.0,470.0,490.0,V-0,30.0,12.5,0.0,400.0,13.8,10.0
Ethylene Vinyl Acetate (EVA),0.945,90.0,2.1,0.32499999999999996,180.0,260.0,340.0,HB,18.0,245.0,2.0,260.0,42.0,205.0
Europium (Pure),5.24,822.0,0.18,14.0,35.0,,,Non,0.0,0.0,0.0,822.0,0.0,0.0
Europium Boride (EuB6),4.95,2110.0,0.55,28.0,8.5,,,Non,0.0,0.0,0.0,2110.0,0.0,0.0
Europium Hexaboride (EuB6),4.95,2240.0,0.5,32.0,7.8,,,Non,0.0,0.0,0.0,2240.0,0.0,0.0
Europium Hydride,5.35,1000.0,0.35,4.2,13.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Europium Oxide (Eu2O3),7.4,2330.0,0.35,10.0,10.5,,,Non,0.0,0.0,0.0,2330.0,0.0,0.0
Europium Silicide,5.45,1350.0,0.35,8.0,13.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Expanded Clay,0.6,,1.05,0.12,7.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Expanded Perlite Board,0.2,1100.0,1.0,0.05,8.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Expanded Polyethylene (EPE),0.03,110.0,2.3,0.04,200.0,340.0,350.0,HB,17.0,60.0,0.0,340.0,43.0,200.0
Expanded Polystyrene (EPS),0.025,240.0,1.3,0.03,70.0,345.0,427.0,HB,18.0,250.0,0.0,240.0,41.0,225.0
Expanded Shale,0.85,,1.0,0.2,8.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Extruded Polystyrene (XPS),0.04,,1.4,0.03,75.0,,460.0,HB,19.0,400.0,3.0,250.0,39.5,180.0
FEP (Teflon FEP),2.15,260.0,1.17,0.24,130.0,510.0,520.0,V-0,95.0,3.0,0.0,480.0,5.2,5.0
FS-85 Niobium Alloy,10.6,2300.0,0.24,35.0,7.5,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0
Feather (Down),0.02,,1.5,0.03,,,,HB,22.0,120.0,30.0,220.0,20.0,150.0
Fermium Boride (FmB4),8.65,1800.0,0.2,5.0,16.5,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0
Fernico,8.25,1450.0,0.45,17.0,5.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Ferrite (Ceramic Magnet),4.8,1400.0,0.75,4.0,10.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Ferrocement,2.5,,0.85,1.6,12.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Fiber Cement Board,1.45,,1.0,0.25,8.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0
Fiberglass Grating (Polyester),1.7,,1.2,0.25,18.0,,480.0,HB,20.0,450.0,15.0,350.0,30.0,150.0
Fiberglass Grating (Vinylester),1.75,,1.15,0.28,16.0,,500.0,V-0,28.0,350.0,25.0,380.0,28.0,25.0
Fiberglass Insulation (Batts),0.02,,0.8,0.04,5.0,,,Non,0.0,0.0,0.0,550.0,0.0,0.0
Fire Logs (Wax/Sawdust),1.05,,1.8,0.2,,,200.0,HB,15.0,800.0,10.0,250.0,35.0,400.0
Firebrick (Alumina),2.4,1750.0,1.05,1.2,5.2,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0
Fireclay (Super Duty),2.3,1750.0,0.95,1.5,5.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0
Flax Fiber,1.54,,1.4,0.16,,265.0,375.0,HB,25.0,100.0,30.0,310.0,19.5,100.0
Fluorinated Ethylene Propylene (FEP Film),2.15,265.0,1.17,0.24,130.0,510.0,520.0,V-0,95.0,3.0,0.0,480.0,5.2,5.0
Fluorinated Ethylene Propylene (FEP),2.15,260.0,1.16,0.22,112.5,510.0,520.0,V-0,95.0,4.0,0.0,450.0,5.5,3.5
Fluorinated PI (CP1),1.53,410.0,1.08,0.16,35.0,595.0,620.0,V-0,44.0,5.0,65.0,610.0,23.5,2.0
Fluorinated Polyimide,1.5,410.0,1.1,0.16,35.0,590.0,620.0,V-0,42.0,5.0,65.0,610.0,24.0,3.0
Fluorinated Silicone,1.45,,1.1,0.22,220.0,450.0,480.0,V-1,33.0,30.0,40.0,420.0,19.0,20.0
Fluorine,0.002,-220.0,0.82,0.03,,,,,,0.0,-188.0,0.0,,
Fluoroelastomer (Aflas),1.55,,1.25,0.18,200.0,460.0,500.0,V-0,45.0,35.0,40.0,440.0,16.0,15.0
Fluoroelastomer (Viton),1.85,,1.15,0.2,200.0,,,V-0,50.0,50.0,45.0,480.0,15.0,10.0
Fly Ash (Bulk),0.9,,0.8,0.15,,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Formaldehyde,0.81,-92.0,2.0,0.15,-50.0,430.0,,,,0.0,,17.2,,
Formic Acid,1.22,8.4,2.15,0.27,69.0,434.0,,,,5.0,101.0,5.2,,
Forsterite,2.85,1890.0,0.85,3.5,11.0,,,Non,0.0,0.0,0.0,1890.0,0.0,0.0
Furan,0.94,-86.0,1.55,0.15,-35.0,390.0,,,,0.0,,35.5,,
Furan Resin,1.2,,1.3,0.25,45.0,,520.0,V-0,45.0,50.0,55.0,450.0,22.0,10.0
Fused Silica,2.2,1710.0,0.75,1.4,0.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Fused Silica (Amorph),2.2,1710.0,0.75,1.4,0.5,,,Non,0.0,0.0,0.0,1710.0,0.0,0.0
Gabbro,3.0,1250.0,0.75,2.6,6.5,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Gadolinium (Pure),7.9,1313.0,0.23,10.0,9.4,,,Non,0.0,0.0,0.0,1313.0,0.0,0.0
Gadolinium Boride (GdB6),5.3,2090.0,0.5,30.0,8.0,,,Non,0.0,0.0,0.0,2090.0,0.0,0.0
Gadolinium Gallium Garnet (GGG),7.08,1750.0,0.4,9.0,9.2,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0
Gadolinium Hafnate (Gd2Hf2O7),8.75,2550.0,0.25,1.5,9.5,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0
Gadolinium Hexaboride (GdB6),5.25,2250.0,0.48,30.0,8.0,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0
Gadolinium Hydride,7.08,1000.0,0.3,5.0,11.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Gadolinium Iron Garnet (GdIG),6.45,1530.0,0.45,5.5,10.5,,,Non,0.0,0.0,0.0,1530.0,0.0,0.0
Gadolinium Orthosilicate (GSO),6.71,1900.0,0.35,3.5,10.0,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0
Gadolinium Oxide (Gd2O3),7.41,2420.0,0.35,10.0,10.2,,,Non,0.0,0.0,0.0,2420.0,0.0,0.0
Gadolinium Silicide,7.15,1300.0,0.3,10.0,11.5,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Gadolinium Zirconate (Gd2Zr2O7),7.0,2400.0,0.35,1.6,10.0,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0
Gallium,5.91,29.8,0.37,29.0,18.0,,,Non,0.0,0.0,0.0,29.8,0.0,0.0
Gallium (Metal),5.91,30.0,0.37,29.0,18.0,,,Non,0.0,0.0,0.0,2204.0,0.0,0.0
Gallium Antimonide,5.61,712.0,0.25,32.0,7.7,,,Non,0.0,0.0,0.0,712.0,0.0,0.0
Gallium Arsenide,5.32,1238.0,0.33,55.0,5.7,,,Non,0.0,0.0,0.0,1238.0,0.0,0.0
Gallium Arsenide Crystal,5.32,1238.0,0.33,52.0,5.7,,,Non,0.0,0.0,0.0,1238.0,0.0,0.0
Gallium Hydride,5.55,,0.45,1.5,15.0,,,Non,0.0,0.0,0.0,-15.0,0.0,0.0
Gallium Nitride (GaN),6.1,2500.0,0.49,130.0,3.2,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0
Gallium Nitride Crystal,6.15,,0.49,130.0,5.6,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Gallium Silicide,4.85,,0.45,8.0,12.5,,,Non,0.0,0.0,0.0,250.0,0.0,0.0
Galvanized Steel,7.9,1450.0,0.49,45.0,12.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Gasoline (87 Octane),0.75,,2.2,0.1,,-43.0,280.0,HB,14.0,800.0,0.0,200.0,44.5,500.0
Gelatin (Dry),1.3,,1.25,0.2,,,,HB,25.0,150.0,30.0,220.0,18.0,150.0
Germanium,5.32,938.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,938.0,0.0,0.0
Germanium (Pure),5.32,938.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,938.0,0.0,0.0
Germanium (Pure/Crys),5.32,938.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,938.0,0.0,0.0
Germanium Crystal,5.32,937.0,0.32,60.0,6.0,,,Non,0.0,0.0,0.0,937.0,0.0,0.0
Germanium Dioxide,4.25,1115.0,0.525,0.8,7.5,,,Non,0.0,0.0,0.0,1115.0,0.0,0.0
Germanium Hydride (Germane),0.003,-165.0,0.65,,,,,,0.0,-88.0,32.5,,,
Gilsonite,1.05,150.0,1.6,0.15,150.0,320.0,500.0,HB,18.0,500.0,30.0,400.0,36.0,200.0
Glass (Borosilicate),2.23,1260.0,0.75,1.1,3.3,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0
Glass Block,2.3,,0.8,0.6,8.5,,,Non,0.0,0.0,0.0,900.0,0.0,0.0
Glass Fiber (AR-Glass),2.7,1250.0,0.78,1.2,7.5,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Glass Fiber (C-Glass),2.5,1200.0,0.8,1.1,6.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Glass Fiber (E-Glass),2.54,1320.0,0.8,1.3,5.4,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0
Glass Fiber (S-Glass),2.48,1550.0,0.73,1.5,2.9,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0
Glass Fiber Fabric (E-Glass),2.55,1100.0,0.8,1.0,5.4,,,Non,0.0,0.0,0.0,850.0,0.0,0.0
Glass Fiber Fabric (S-Glass),2.48,1200.0,0.75,1.1,2.5,,,Non,0.0,0.0,0.0,950.0,0.0,0.0
Glass Fiber Reinforced Concrete (GFRC),2.1,,1.0,0.9,9.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Glass Fiber Reinforced Gypsum (GFRG),1.85,,1.05,0.45,13.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0
Glass Fiber Reinforced PA66,1.35,263.0,1.3,0.4,25.0,400.0,450.0,HB,24.0,50.0,25.0,420.0,28.0,80.0
Glass Fiber Reinforced PP,1.12,165.0,1.5,0.3,35.0,330.0,360.0,HB,22.0,45.0,15.0,350.0,35.0,100.0
Glass Fiber/Phenolic,1.9,,1.1,0.55,15.0,550.0,580.0,V-0,55.0,2.0,65.0,480.0,18.0,2.0
Glass Fiber/Silicone,1.95,,1.05,0.6,12.0,500.0,550.0,V-0,45.0,15.0,58.0,500.0,18.0,5.0
Glass Wool (Fiberglass),0.02,600.0,0.8,0.035,0.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Glass-Ceramic (Macor),2.52,1000.0,0.79,1.48,9.3,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Glass-Ceramic (Zerodur),2.53,800.0,0.82,1.43,0.05,,,Non,0.0,0.0,0.0,800.0,0.0,0.0
Glulam (Sitka Spruce),0.48,,1.65,0.12,3.5,250.0,350.0,HB,23.0,50.0,22.0,300.0,18.0,90.0
Glycerol,1.26,18.0,2.4,0.28,160.0,370.0,,,,20.0,290.0,18.1,,
Glycerol Trinitrate (NG),1.59,13.0,1.35,0.25,,,270.0,,,100.0,5.0,250.0,5.0,
Gneiss,2.75,,0.78,2.4,7.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Gold,19.3,1064.0,0.13,317.0,14.2,,,Non,0.0,0.0,0.0,1064.0,0.0,0.0
Gold (14K Yellow),13.2,880.0,0.15,100.0,15.5,,,Non,0.0,0.0,0.0,880.0,0.0,0.0
Gold (18k Yellow),15.5,910.0,0.13,300.0,14.5,,,Non,0.0,0.0,0.0,910.0,0.0,0.0
Gold (99.9%),19.3,1064.0,0.13,318.0,14.2,,,Non,0.0,0.0,0.0,1064.0,0.0,0.0
Gold Silicide,15.5,363.0,0.15,45.0,15.5,,,Non,0.0,0.0,0.0,363.0,0.0,0.0
Granite (Standard),2.65,1215.0,0.79,2.5,8.0,,,Non,0.0,0.0,0.0,1215.0,0.0,0.0
Graphite,2.2,3650.0,0.71,150.0,2.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Graphite (Extruded),1.7349999999999999,3650.0,0.71,150.0,2.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Graphite (Flexible Sheet),1.1,3650.0,0.71,150.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Graphite (Isostatic Pressed),1.85,3650.0,0.71,120.0,4.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Graphite (Isostatic),1.85,3650.0,0.71,120.0,3.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Graphite Foil,1.1,3650.0,0.71,150.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Greek Ascoloy,7.86,1425.0,0.46,24.0,11.0,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0
Guanidine Nitrate,1.44,214.0,1.3,0.2,,,,,,100.0,0.0,214.0,6.0,
Gypsum Plaster (Set),1.15,,1.09,0.17,16.5,,,Non,0.0,0.0,0.0,150.0,0.0,0.0
HDPE (Cross-linked/PEX),0.94,133.0,2.1,0.41,140.0,345.0,355.0,HB,18.0,20.0,2.0,350.0,43.2,115.0
HMX,1.9,285.0,1.1,0.2,,,330.0,,,1000.0,2.0,280.0,10.0,
Hafnium Boride (HfB2),10.5,3250.0,0.18,25.0,6.0,,,Non,0.0,0.0,0.0,3250.0,0.0,0.0
Hafnium Carbide,12.199999999999998,3890.0,0.11666666666666665,20.0,6.099999999999999,,,Non,0.0,0.0,0.0,3890.0,0.0,0.0
Hafnium Diboride,10.5,3250.0,0.16,25.0,6.15,,,Non,0.0,0.0,0.0,3250.0,0.0,0.0
Hafnium Hydride,11.4,1000.0,0.15,12.0,6.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Hafnium Metal,13.3,2233.0,0.14,23.0,5.9,,,Non,0.0,0.0,0.0,2233.0,0.0,0.0
Hafnium Nitride,13.5,3305.0,0.14500000000000002,20.0,6.3,,,Non,0.0,0.0,0.0,3305.0,0.0,0.0
Hafnium Oxide (HfO2),9.68,2758.0,0.12,1.1,5.9,,,Non,0.0,0.0,0.0,2758.0,0.0,0.0
Hafnium Oxide (Monoclinic),9.68,2758.0,0.13,1.5,5.8,,,Non,0.0,0.0,0.0,2758.0,0.0,0.0
Hafnium Silicide,8.02,2100.0,0.2,15.0,7.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0
Hafnium Silicide (HfSi2),8.02,2100.0,0.2,15.0,7.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0
Hafnium(IV) Bromide,5.25,424.0,0.12,0.2,50.0,,,Non,0.0,0.0,0.0,424.0,0.0,0.0
Hafnium(IV) Chloride,3.89,432.0,0.15,0.15,55.0,,,Non,0.0,0.0,0.0,432.0,0.0,0.0
Hafnium(IV) Iodide,5.65,449.0,0.1,0.25,45.0,,,Non,0.0,0.0,0.0,449.0,0.0,0.0
Hafnium-Zirconium,13.1,2230.0,0.14,23.0,6.0,,,Non,0.0,0.0,0.0,2230.0,0.0,0.0
Halar (ECTFE),1.68,240.0,1.1,0.15,80.0,450.0,480.0,V-0,52.0,12.0,20.0,440.0,16.0,5.0
Hardboard (Tempered),1.05,,1.35,0.18,6.0,220.0,330.0,HB,28.0,150.0,35.0,250.0,21.0,200.0
HardiePlank (Fiber Cement),1.45,,1.05,0.24,8.5,,,Non,0.0,0.0,0.0,500.0,0.0,0.0
Hardwood Charcoal,0.45,,1.2,0.08,,,250.0,HB,25.0,50.0,85.0,450.0,30.0,100.0
Hastelloy B-3,9.22,1370.0,0.38,11.2,10.6,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Hastelloy C-276,8.89,1370.0,0.42,10.2,11.2,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Hastelloy X,8.22,1260.0,0.48,9.1,13.8,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0
Haynes 188,8.98,1330.0,0.4,10.8,11.9,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
Haynes 188 (Sheet),8.98,1330.0,0.4,10.8,11.9,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
Haynes 214,8.05,1355.0,0.45,11.8,13.3,,,Non,0.0,0.0,0.0,1355.0,0.0,0.0
Haynes 230,8.97,1300.0,0.4,8.9,12.7,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Haynes 25,9.13,1370.0,0.4,9.8,12.3,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Heavy Concrete (Barite),3.5,,0.65,1.8,9.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Heavy Concrete (Magnetite),3.8,,0.62,2.2,10.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Heavy Fuel Oil (No. 6),0.98,,1.8,0.13,,65.0,400.0,HB,16.0,600.0,10.0,350.0,40.0,350.0
Helium (Liquid),0.12,,5.19,0.03,,,,,,0.0,,0.0,,
Hemp Fiber,1.5,,1.45,0.15,,260.0,370.0,HB,24.0,110.0,28.0,300.0,19.0,120.0
Hempcrete,0.45,,1.5,0.08,,,,B-1,40.0,30.0,45.0,250.0,12.0,20.0
Heptane (n),0.68,-91.0,2.25,0.13,-4.0,223.0,,,,0.0,,44.6,,
Hexane (n),0.66,-95.0,2.25,0.12,-22.0,225.0,,,,0.0,,44.7,,
High Alumina Brick,2.8,1800.0,0.9,2.0,5.5,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0
High Pressure Laminate (HPL),1.4,,1.35,0.25,20.0,,400.0,HB,25.0,250.0,30.0,280.0,22.0,100.0
Holmium (Pure),8.8,1474.0,0.16,16.0,11.2,,,Non,0.0,0.0,0.0,1474.0,0.0,0.0
Holmium Boride (HoB6),5.95,2030.0,0.42,38.0,7.2,,,Non,0.0,0.0,0.0,2030.0,0.0,0.0
Holmium Hexaboride (HoB6),5.85,2295.0,0.4,25.0,8.8,,,Non,0.0,0.0,0.0,2295.0,0.0,0.0
Holmium Hydride,8.1,1000.0,0.25,4.7,10.8,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Holmium Iron Garnet (HoIG),6.75,1515.0,0.35,5.1,10.4,,,Non,0.0,0.0,0.0,1515.0,0.0,0.0
Holmium Oxide (Ho2O3),8.41,2415.0,0.3,11.0,9.2,,,Non,0.0,0.0,0.0,2415.0,0.0,0.0
Holmium Silicide,8.05,1150.0,0.22,12.0,10.0,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0
Hydrazine,1.02,2.0,3.1,0.5,52.0,270.0,,,,0.0,113.0,19.4,,
Hydrazine (Anhydrous),1.01,2.0,3.1,0.5,,52.0,270.0,HB,25.0,,0.0,113.0,19.4,
Hydrogen,0.0001,-259.0,14.3,0.18,,500.0,,,,0.0,,120.0,,
Hydrogen (Liquid),0.07,-259.0,14.3,0.18,,-253.0,500.0,HB,5.0,,0.0,-253.0,120.0,
Hydrogen Chloride,0.001,-114.0,0.8,0.14,,,,,,0.0,-85.0,0.0,,
Hydrogen Cyanide,0.69,-13.0,2.65,0.15,-18.0,538.0,,,,0.0,26.0,24.5,,
Hydrogen Fluoride,0.99,-83.0,2.5,0.12,,,,,,0.0,20.0,0.0,,
Hydrogen Peroxide,1.45,-0.4,2.6,0.52,,,,,,0.0,150.0,0.0,,
Hydrogen Sulfide,0.001,-85.0,1.0,0.15,,260.0,,,,0.0,-60.0,15.2,,
Hydroquinone,1.33,172.0,1.35,0.15,165.0,516.0,,,,35.0,285.0,25.5,,
Hydroxyapatite,3.16,,0.8,1.2,11.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Hypalon (CSPE),1.2,,1.55,0.19,160.0,,430.0,V-0,30.0,350.0,25.0,280.0,25.0,50.0
Incoloy 800H,7.94,1350.0,0.46,11.0,14.4,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Incoloy 825,8.14,1370.0,0.44,11.0,14.0,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Incoloy 901,8.14,1360.0,0.44,12.0,14.0,,,Non,0.0,0.0,0.0,1360.0,0.0,0.0
Incoloy 903,8.14,1400.0,0.44,15.0,7.5,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Incoloy 907,8.2,1400.0,0.44,16.0,8.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Incoloy 909,8.28,1400.0,0.44,17.0,7.7,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Inconel 600,8.47,1354.0,0.44,14.8,13.3,,,Non,0.0,0.0,0.0,1354.0,0.0,0.0
Inconel 617,8.36,1330.0,0.42,13.4,11.6,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
Inconel 625,8.44,1290.0,0.41,9.8,12.8,,,Non,0.0,0.0,0.0,1290.0,0.0,0.0
Inconel 690,8.19,1345.0,0.45,12.1,14.1,,,Non,0.0,0.0,0.0,1345.0,0.0,0.0
Inconel 718,8.19,1300.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Inconel X-750,8.28,1393.0,0.43,12.0,12.6,,,Non,0.0,0.0,0.0,1393.0,0.0,0.0
Indium,7.31,156.0,0.23,81.0,33.0,,,Non,0.0,0.0,0.0,156.0,0.0,0.0
Indium (Metal),7.31,157.0,0.23,82.0,33.0,,,Non,0.0,0.0,0.0,157.0,0.0,0.0
Indium Antimonide,5.78,527.0,0.2,18.0,5.15,,,Non,0.0,0.0,0.0,527.0,0.0,0.0
Indium Antimonide Crystal,5.78,527.0,0.2,18.0,5.3,,,Non,0.0,0.0,0.0,527.0,0.0,0.0
